mentionId	conceptId	similarityScore
5ce4af92	OBT:000010	0.298357
5c432e40	OBT:002133	0.522675
8e51ef8	OBT:000010	0.438340
304435f6	OBT:000010	0.448324
18bbd4a	OBT:000000	0.553204
425ee3ab	OBT:002307	0.535251
189faf12	OBT:000953	0.412766
14d21cb9	OBT:000000	0.437122
7ef5a01b	OBT:001804	0.443817
357a3cb9	OBT:000000	0.445561
720a0b6b	OBT:000000	0.530274
13674bcb	OBT:002133	0.536191
7bb0b7b4	OBT:002133	0.445020
64709573	OBT:000010	0.433962
20f7197f	OBT:000065	0.312467
4a686b43	OBT:002133	0.482326
5034ef6c	OBT:000010	0.555516
1e594828	OBT:002133	0.583564
4c85eb6b	OBT:000010	0.451337
4cda59e6	OBT:002133	0.519767
6cf37a31	OBT:000000	0.472353
44e49229	OBT:002187	0.405293
7755382a	OBT:002133	0.544207
7046bea1	OBT:002115	0.444852
5101d04c	OBT:000065	0.506316
b97bc80	OBT:002133	0.544317
38e26e29	OBT:000065	0.563135
47c8ced	OBT:000010	0.566794
65ed7661	OBT:000010	0.464077
2a3f74fd	OBT:002133	0.350503
40ac1dcb	OBT:000010	0.483461
4a187041	OBT:002307	0.535251
28b1ccd1	OBT:002115	0.450308
7c5c3132	OBT:000010	0.417322
1300bc97	OBT:002307	0.489398
72fb8a1d	OBT:000010	0.298357
5e88cef1	OBT:002133	0.471025
1c511e32	OBT:001804	0.443817
774d286	OBT:002133	0.517851
519e7396	OBT:000010	0.417322
5fe14f1b	OBT:000065	0.483818
7e532896	OBT:000000	0.473610
5e4c26a1	OBT:002187	0.334904
656096e1	OBT:000010	0.298357
7c752d6b	OBT:000010	0.298357
33a8ae90	OBT:000065	0.482228
6e76c502	OBT:000065	0.371146
4faf4191	OBT:002133	0.482823
552da55b	OBT:002133	0.376064
199763ea	OBT:000065	0.442542
4c9e86a4	OBT:001804	0.443817
1b0e55b	OBT:000000	0.577886
1148673d	OBT:002133	0.411872
35c7c803	OBT:000000	0.572841
652c7ba2	OBT:000000	0.480385
76b36d98	OBT:000065	0.479722
34615ef4	OBT:000010	0.477038
30f8e8b2	OBT:000010	0.298357
e6f7638	OBT:001804	0.443817
521090f1	OBT:000065	0.477713
71211cd5	OBT:002307	0.499494
202684ba	OBT:000010	0.434986
704091b4	OBT:001804	0.443817
4054e55b	OBT:002133	0.576935
5d30303	OBT:000065	0.486361
5722c149	OBT:000000	0.447081
c2b2b92	OBT:002133	0.411872
4d99d7ac	OBT:002133	0.482326
361398f6	OBT:002133	0.488385
643afff3	OBT:000065	0.524754
116d3f22	OBT:000056	0.471720
30e3ca4a	OBT:001804	0.443817
366c2d9c	OBT:002133	0.556660
59de6f39	OBT:000065	0.552123
3a3a93b3	OBT:002307	0.535251
de2d0d4	OBT:002133	0.544207
3382adc2	OBT:000065	0.474185
3f5353ab	OBT:002133	0.536191
7bbdaf51	OBT:000065	0.588787
5dce3e	OBT:000000	0.449696
32c50b97	OBT:000953	0.412766
7d707e72	OBT:000065	0.525164
5b3eb1dd	OBT:002133	0.570725
67131e6	OBT:002133	0.376064
6e576b5a	OBT:000056	0.576455
3e491595	OBT:000010	0.541038
711d66e0	OBT:000010	0.464077
1c9e9bfb	OBT:000065	0.509878
3ccf89bf	OBT:000010	0.457314
66910ced	OBT:002133	0.520741
fb089f4	OBT:000010	0.298357
717b5af1	OBT:002133	0.551057
65ff5e07	OBT:002307	0.499494
63574fbf	OBT:000065	0.487802
51ce29c9	OBT:002133	0.482326
628cd698	OBT:000010	0.529599
5f5ab1ad	OBT:002307	0.437501
71374a2b	OBT:000065	0.491922
75897392	OBT:000010	0.415706
5edd911f	OBT:000010	0.298357
7ad9ff43	OBT:002307	0.535251
66257bec	OBT:000065	0.467919
64ed45eb	OBT:000010	0.298357
1296284f	OBT:000065	0.560668
9a7c39d	OBT:000000	0.480385
5bdd5b86	OBT:002133	0.566161
4d0be2ac	OBT:000010	0.481658
32dca84b	OBT:002133	0.350503
ab30c56	OBT:000065	0.461365
329b6556	OBT:002307	0.535251
703b2538	OBT:000000	0.411472
578ce232	OBT:002133	0.481456
5548d5c4	OBT:000056	0.570797
4738db0f	OBT:000065	0.507900
685d92cf	OBT:002115	0.450308
6d448772	OBT:000065	0.492657
2603ad0a	OBT:002133	0.551057
51d84d7f	OBT:000010	0.298357
1e92420f	OBT:000000	0.420803
75443609	OBT:000000	0.445561
3cf852f9	OBT:002133	0.550848
5b6d1e80	OBT:000065	0.474185
318f2e9d	OBT:000065	0.528303
5a6d931c	OBT:000065	0.509878
2a718598	OBT:002133	0.417615
5d131f37	OBT:000010	0.508486
3140ee29	OBT:000056	0.594953
36e73413	OBT:000000	0.500455
1872c2d5	OBT:000065	0.554735
50c43f7d	OBT:000065	0.449415
463b7913	OBT:000010	0.464077
7157b2d4	OBT:000010	0.298357
767ab988	OBT:002133	0.373385
61598d13	OBT:000065	0.522529
614a32ef	OBT:000000	0.494488
66bd32b1	OBT:000065	0.436631
193c3354	OBT:002133	0.411872
1d6ddb48	OBT:001804	0.443817
329ba591	OBT:000000	0.420803
38a64fbd	OBT:000010	0.541038
4f415a37	OBT:000000	0.531841
1adac232	OBT:000065	0.479722
2ce37955	OBT:002307	0.402883
7a3a8ee0	OBT:000065	0.452143
24908e31	OBT:000065	0.457941
dfee4f1	OBT:002133	0.488385
7cef2f2d	OBT:002307	0.450957
203ea126	OBT:000065	0.357408
e4e4643	OBT:002133	0.502325
2c630bff	OBT:000065	0.312467
4b8f60fe	OBT:002307	0.535251
48e2b4b7	OBT:002133	0.411872
4eb42e05	OBT:002133	0.558949
24f878f7	OBT:002307	0.506066
278537ab	OBT:000065	0.455404
7d12c4dd	OBT:000010	0.299522
6f053a97	OBT:000065	0.536503
13695bca	OBT:000065	0.491507
7a615950	OBT:002307	0.535251
22bd3618	OBT:002133	0.350503
5460452a	OBT:000010	0.417322
716661b3	OBT:002133	0.364300
6d4e4e0c	OBT:001804	0.443817
599f0fab	OBT:002133	0.444303
68c29d64	OBT:001804	0.443817
23e58061	OBT:000065	0.397288
595bcc11	OBT:002133	0.465929
3c31169f	OBT:000000	0.472353
5381deec	OBT:001804	0.443817
7e798721	OBT:002307	0.535251
618c6ba8	OBT:002133	0.522675
4973aba1	OBT:002133	0.438374
463aa3da	OBT:000065	0.470893
1e35c3ff	OBT:000953	0.412766
5c98b98	OBT:000953	0.412766
518ed96e	OBT:001804	0.443817
669603c5	OBT:000065	0.495233
7e95bbbb	OBT:000056	0.553285
70a8c26e	OBT:000010	0.451337
5ce4c15a	OBT:002115	0.468758
147c3a88	OBT:000953	0.412766
57bc2c06	OBT:002133	0.440727
51f779b2	OBT:000056	0.570797
1b15e7f6	OBT:002187	0.285977
22f1d27e	OBT:000000	0.505771
6e6b3dbf	OBT:000065	0.469050
de1b4dd	OBT:000010	0.298357
1c4493c6	OBT:000065	0.418632
3b812d71	OBT:000010	0.464077
7141e065	OBT:000953	0.412766
b1078f2	OBT:000065	0.518184
63f8fded	OBT:000056	0.471720
381602e1	OBT:000065	0.442006
2b152527	OBT:000065	0.482228
8b2f35c	OBT:000065	0.388531
5762dc14	OBT:000065	0.531205
4e06d526	OBT:000065	0.524754
60e6045c	OBT:000065	0.380504
622031f8	OBT:002133	0.403848
33101686	OBT:000000	0.574915
700df0dd	OBT:001804	0.443817
57cd757a	OBT:000065	0.491228
5281b134	OBT:000953	0.412766
96b3034	OBT:002115	0.468758
232a935	OBT:002133	0.350503
78b9ef0c	OBT:000065	0.542510
3e3c2aa4	OBT:002133	0.350503
5bfee39d	OBT:000010	0.298357
51077e04	OBT:002133	0.503443
2b067248	OBT:000000	0.371074
68f1b06b	OBT:002133	0.350503
111d4b1c	OBT:000000	0.551083
56c802bc	OBT:000010	0.298357
413195dc	OBT:000065	0.369721
4506f295	OBT:000065	0.471733
3f14897	OBT:000000	0.500455
637a43b	OBT:002133	0.536191
2c997fdb	OBT:002307	0.489398
48ab29f8	OBT:002307	0.535251
2b4f99e5	OBT:002133	0.556660
54db2ab9	OBT:000065	0.491228
345292c1	OBT:000065	0.459826
2ca57834	OBT:000000	0.557079
1969a032	OBT:000065	0.508338
2bf833b5	OBT:000010	0.464077
2d532099	OBT:000065	0.466580
1a68c0c	OBT:000010	0.298357
3e00d115	OBT:000010	0.464077
15b810df	OBT:001804	0.443817
7fa41484	OBT:002133	0.350503
6169de0c	OBT:002133	0.350503
11553864	OBT:000065	0.483818
2622efb0	OBT:002133	0.570725
55f20d7e	OBT:002133	0.480251
1ac74499	OBT:002133	0.376064
3a6b8805	OBT:002133	0.472166
52b2aa6e	OBT:000065	0.570567
1d5f1fa5	OBT:001804	0.443817
2ad447d8	OBT:000065	0.397288
4ecbd1da	OBT:000065	0.474888
453d15d7	OBT:002133	0.520741
7f814c6e	OBT:002133	0.376064
32016cf3	OBT:000065	0.466529
156187bf	OBT:000010	0.560376
368d76d7	OBT:000010	0.611264
2dfecd52	OBT:000065	0.560521
6e3f108c	OBT:002133	0.517441
58cb1f78	OBT:002133	0.366021
4ed5c276	OBT:000010	0.373678
687a16b7	OBT:002115	0.450308
61a35f53	OBT:002133	0.438374
21238ffe	OBT:001804	0.443817
7b004765	OBT:002133	0.366021
536efbfe	OBT:002133	0.480305
23358a67	OBT:000000	0.371074
5a187cd4	OBT:002187	0.285977
60e17c7d	OBT:002133	0.576949
5a021583	OBT:000000	0.492487
172194b9	OBT:000065	0.525274
187ee61a	OBT:002133	0.454306
548548c2	OBT:002133	0.366021
5fdef28a	OBT:000010	0.481658
79309b5c	OBT:000000	0.476264
6de6baf6	OBT:002133	0.376064
7330574d	OBT:000065	0.600582
230ac978	OBT:002133	0.423470
6acc424e	OBT:000065	0.470363
61d4bc03	OBT:001804	0.443817
2a830f73	OBT:002307	0.535251
6b8eb7b2	OBT:000065	0.607390
6fbdee75	OBT:000010	0.464077
ce2077	OBT:000065	0.476295
7c329d38	OBT:000953	0.412766
54210bb8	OBT:002133	0.488385
2c8c4afb	OBT:001804	0.443817
39ae8a75	OBT:000010	0.508486
553011a9	OBT:001804	0.443817
499686b9	OBT:000065	0.525274
30e6c577	OBT:002133	0.463535
13312ba2	OBT:002133	0.366021
dc58fb	OBT:000065	0.483818
21b9adc1	OBT:000000	0.518413
4cf52777	OBT:002133	0.549906
40c14f20	OBT:000010	0.510392
6ea020d4	OBT:000035	0.387361
58554818	OBT:002133	0.448907
c0684ee	OBT:002133	0.472094
43fbd29	OBT:000010	0.489159
30f94b64	OBT:000065	0.474185
7c182cb8	OBT:000065	0.488932
4f774a14	OBT:000065	0.582602
185d151b	OBT:002133	0.520741
50a7dc25	OBT:000056	0.471720
5680639f	OBT:000953	0.412766
4999462c	OBT:000010	0.530354
17994ef8	OBT:000065	0.572034
7f06ef67	OBT:000953	0.412766
60b4ce86	OBT:002133	0.520741
912e308	OBT:002133	0.445020
6e860ca5	OBT:002187	0.422822
9215bfb	OBT:000000	0.428296
35632dcd	OBT:002133	0.536191
3447c3ed	OBT:002133	0.529007
2f499565	OBT:002133	0.470945
6d6e2ad5	OBT:002115	0.450308
6e526c5c	OBT:000010	0.477038
69b74dc2	OBT:002133	0.366021
70f0bd97	OBT:000000	0.580504
47caa1ff	OBT:000065	0.600182
30ba29cf	OBT:000065	0.505023
5b8de87b	OBT:000056	0.466498
4615c513	OBT:001804	0.443817
3d02debf	OBT:000065	0.475470
106dbf5f	OBT:000065	0.472563
